,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
0,1503960366_2016-04-12,1503960366,2016-04-12,13162,Highly active,8.5,1.87999999523163,0.550000011920929,6.05999994277954,25,13,328,366,728,1985,327,346,94.50867052023122,02:47:30,08:32:30,5.45
1,1503960366_2016-04-13,1503960366,2016-04-13,10735,Active,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,21,19,217,257,776,1797,384,407,94.34889434889435,03:08:30,21:43:00,6.4
2,1503960366_2016-04-15,1503960366,2016-04-15,9762,Somewhat active,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,29,34,209,272,726,1745,412,442,93.21266968325791,02:59:00,10:20:00,6.87
3,1503960366_2016-04-16,1503960366,2016-04-16,12669,Highly active,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,36,10,221,267,773,1863,340,367,92.64305177111717,02:11:00,23:59:00,5.67
4,1503960366_2016-04-17,1503960366,2016-04-17,9705,Somewhat active,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,38,20,164,222,539,1728,700,712,98.31460674157303,00:00:00,11:18:00,11.67
5,1503960366_2016-04-19,1503960366,2016-04-19,15506,Highly active,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,50,31,264,345,775,2035,304,320,95.0,02:06:30,07:25:30,5.07
6,1503960366_2016-04-20,1503960366,2016-04-20,10544,Active,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,28,12,205,245,818,1786,360,377,95.49071618037135,02:01:00,08:17:00,6.0
7,1503960366_2016-04-21,1503960366,2016-04-21,9819,Somewhat active,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,19,8,211,238,838,1775,325,364,89.28571428571429,02:32:30,08:35:30,5.42
8,1503960366_2016-04-23,1503960366,2016-04-23,14371,Highly active,9.03999996185303,2.80999994277954,0.870000004768372,5.3600001335144,41,21,262,324,732,1949,361,384,94.01041666666666,02:23:00,08:46:00,6.02
9,1503960366_2016-04-24,1503960366,2016-04-24,10039,Active,6.40999984741211,2.92000007629395,0.209999993443489,3.27999997138977,39,5,238,282,709,1788,430,449,95.7683741648107,01:57:30,09:25:30,7.17
10,1503960366_2016-04-25,1503960366,2016-04-25,15355,Highly active,9.80000019073486,5.28999996185303,0.569999992847443,3.94000005722046,73,14,216,303,814,2013,277,323,85.75851393188854,02:56:00,08:18:00,4.62
11,1503960366_2016-04-26,1503960366,2016-04-26,13755,Highly active,8.78999996185303,2.32999992370605,0.920000016689301,5.53999996185303,31,23,279,333,833,1970,245,274,89.41605839416059,03:59:30,08:32:30,4.08
12,1503960366_2016-04-28,1503960366,2016-04-28,13154,Highly active,8.52999973297119,3.53999996185303,1.1599999666214,3.78999996185303,48,28,189,265,782,1898,366,393,93.12977099236642,02:02:00,08:34:00,6.1
13,1503960366_2016-04-29,1503960366,2016-04-29,11181,Active,7.15000009536743,1.05999994277954,0.5,5.57999992370605,16,12,243,271,815,1837,341,354,96.32768361581921,02:21:30,08:14:30,5.68
14,1503960366_2016-04-30,1503960366,2016-04-30,14673,Highly active,9.25,3.55999994277954,1.41999995708466,4.26999998092651,52,34,217,303,712,1947,404,425,95.05882352941177,01:50:00,08:54:00,6.73
15,1503960366_2016-05-01,1503960366,2016-05-01,10602,Active,6.80999994277954,2.28999996185303,1.60000002384186,2.92000007629395,33,35,246,314,730,1820,369,396,93.18181818181817,02:02:30,08:37:30,6.15
16,1503960366_2016-05-02,1503960366,2016-05-02,14727,Highly active,9.71000003814697,3.21000003814697,0.569999992847443,5.92000007629395,41,15,277,333,798,2004,277,309,89.64401294498381,03:15:30,08:23:30,4.62
17,1503960366_2016-05-03,1503960366,2016-05-03,15103,Highly active,9.65999984741211,3.73000001907349,1.04999995231628,4.88000011444092,50,24,254,328,816,1990,273,296,92.22972972972973,03:39:00,08:34:00,4.55
18,1503960366_2016-05-05,1503960366,2016-05-05,14070,Highly active,8.89999961853027,2.92000007629395,1.08000004291534,4.88000011444092,45,24,250,319,857,1959,247,264,93.56060606060606,04:16:30,08:39:30,4.12
